Rank,Player,Account,Language,SNS
1,twitch.tv/reptar,ReptarRB,E,
2,COL_KIMCHI,"COL_KIMCHI",E,
3,LG_WeThePeople1,TTV_WeThePeople1,E,
4,MgCiutch-TTV,MgCiutch-TTV,E,
5,DOJO_Enemy,Enemy,E,
6,Stankiniii,Stankiniii,E,
7,Returnx_O,Returnx_O,?,
8,Be_Ideins,Be_Ideins,?,
9,douyinmaolaoshi,"douyinmaolaoshi",?,
10,kitty-nice,"kitty-nice",?,
11,Rainie y,VEIKIWRR,?,
12,AceUkiyo,BigBaoLei,C,
13,Malice Mamba,N8V_Mamba,E,
14,Twitch FA_inkya,FA_inkya,J,https://twitter.com/FA_inkya
15,Lz_zora,Lz_zora,?,
16,FURIA_Aria,FURIA_Aria,J,
17,SNG_artiNN1,SNG_artiNN1,E,
18,Luna8-TTV,Luna8-TTV,?,
19,BASIC,BEISICFeCK,E,
20,Achillea5,Achillea5,J,
21,GoatMeep,Dolorese,?,
22,nvmessiahttv,nvmessiahttv,E,
23,Zerbow,Zerbow,E,
24,AirAmericaTV,"AirAmericaTV",E,
25,E8 Enoch,"Brother_Enoch",E,
26,No0ne1ikeme,keepgamepure,?,
27,mooreyapTV,"mooreyapTV",E,
28,Kuku,"Kuku127",?,
29,Twitch,ImNaoki,J,https://twitter.com/NaoChaxN
30,Bridge198,"Bridge198",J,
31,douyu_ckkongbai,"douyu_ckkongbai",?,
32,SeNaLMG7,SeNaLMG7,?,
33,Twitch_BuzzKong,BuzzKong,?,
34,Verrahh | Twitch,"Verrahh",E,
35,DJCaTLInK,SuperXXhahahaODD,C,
36,Meltrilyth,"Meltrilyth",?,
37,Syuhno,"Syuhno",?,
38,ULG_SAD,"Ancient018",?,
39,Codddy,COL_Codddy,E,
40,@4xuefps,BloodLossFps,?,
41,WMFB_AZu2tap,"WMFB_AZu2tap",?,
42,SakanaNIN,"SakanaNIN",?,
43,Gniy,"SBI_Gsnkryu73",?,
44,ref:Evieee,Evieee_o,C,
45,Bili_xiaren,bilibili_xiaren,C,
46,Vivy,asdfghjkzxcvbn12,E,
47,TheWayILovedU,TheWayILovedU,?,
48,Xx7-Hades-7xX,Xx7-Hades-7xX,?,
49,Axiom_Airy,Axiom_Airy,J,
50,huahua,huahuahua03,C,
51,LiNkzr,LiNkzr,?,
52,#Lucid,dicuL,C,
53,Bear,ATTO_FPS,?,
54,niq0v2,bl00dju4n,?,
55,LFT_Camellia,B1acKW1ng,?,
56,E6_Cjracked,"Cjrackedd",?,
57,Redemption.,"maxlhz2021",C,
58,Botasky_s147,"Botasky15",?,
59,YeDanFengGg,YeDanFengGg,C,
60,Yelishen1,Yelishen1,?,
61,isooney,isooneyv2,?,
62,Kyrie,SakurasCrying,C,
63,FA_woyao1da3,w0a1babamama,C,
64,Cameloteee,Cameloteee,C,
65,wuyin529,wuyin529,C,
66,Sm1leyF,Sm1leyF,C,
67,TOP38-SKY,TOP38-SKY,C,
68,havoc.exe,FORTNITETAICHOU,J,
69,FA_1nkya,FA_1nkya,C,
70,OneTwo3_,OneTwo3_R,J,
71,Excentis,Excentis,E,
72,Aciuuuuu,i9zb,?,
73,RCO_R1co,RCO_R1co,J,
74,vipe,217374215521321,?,
75,Au5tyn,lIIllIIIIIllIlll,?,
76,OuO,"Lunpin8542",C,
77,Yaziee,Pstolzz,?,
78,Yumy_Schmeeeeekt,"Yumy_Schmeeeeekt",?,
79,E6 JuyZi,JUYZl,E,
80,CRKJ_rick,56487687,?,
81,haloarche,cqq441219336,C,
82,Dr3wwFPS_TTV,Dr3wwFPS_TTV,?,
83,BrandonFPS,IlIllllIlIIIlllI,?,
84,xzzxcwww,888iiioooooiiiii,?,
85,1ster,1ster,?,
86,Zeto,RufusChan,?,
87,Awrrrrryx,Awrrrrryx_,?,
88,522993804,522993804,C,
89,HAO_wqtagashi,HAO_wqtagashi,J,https://twitter.com/wqtagashi_
90,Apryze,Sheesh_Apryze,E,
91,coke-xiaomao-w-,"Softsweetbaby",C,
92,lllIIIllllIlllll,lllIIIllllIlllll,J,
93,xiaoyu1337445706,xiaoyu1337445706,C,
94,@XvLoFPS,ilydexii,?,
95,douyin_xuemowang,"Douyin_xuemowang",C,
96,KisKq,"imKisKq",J,
97,yungzuzy45,Gongzz,?,
98,Twicezzz_bili,Tkwices,C,
99,IBG_33ThreeGod,"IBG_33ThreeGod",?,
100,diffq,diffq,E,
101,yungzuzy45,Gongzz,?,
102,Twicezzz_bili,Tkwices,C,
103,A1donZT,A1donZT,?,
104,IzumoMiyakoSama,IzumoMiyakoSama,?,
105,IBG_33ThreeGod,IBG_33ThreeGod,?,
106,RAFCclub,RAFCclub,C,
107,diffq,diffq,?,
108,OnlyZeemu,OnlyZeemu,C,
109,otiosle,"otiosle",?,
110,Zect,"ZectQQQ",?,
111,MFA_ngxud,MFA_ngxud,E,
112,Dyin_Apex,xiaohaoas,?,
113,King_FPS,"Sunflawah",E,
114,Eren,chou0205,?,
115,Alliance_Effect,AlIiance_Effect,E,
116,Bili Swim24,Swim724,?,
117,SNFLK,Snowflake124,?,
118,DwacyLiR,zouxux,J,
119,NjahiQ,NjahiQ,?,
120,ChristOhFurG,"ChristOhFurG",?,
121,Prometheus,"Taxi2g",E,
122,twitch-Digvibezz,"twitch-Digvibezz",E,
123,onyx,unworthy,?,
124,VOLZZ,V0LzZ,C,
125,@Frantic_FPS,"Frantlcc",E,
126,Muffin,bili22420074,C,
127,T9_Bonso,T9_Bonso,?,
128,dontlockmeplease,Waitme1_moment,C,
129,Knightkkboys,Knightkkboys,?,
130,e1893_e1893,e1893_e1893,C,
131,TTV_HiphhNotiC,TTV_HiphhNotiC,E,
132,Bobo,"LBobove",?,
133,CR,CR_Mainy_LOG,C,
134,HI213JOKER,32313sdakkzo-k,?,
135,KIKANBO,KIKANBO,?,
136,Rhinedottir,"TuTerkKork",?,
137,tttcheekyttt_SBI,tttcheekyttt_SBI,J,https://twitter.com/tttcheekyttt
138,ImLazyGG,ImLazyGG,?,
139,Ovechkin3,Ovechkin3,?,
140,Spogie_Bogie_22,"Spogie_Bogie_22",?,
141,RTG_Mistak3r,RTG_Mistak3r,C,
142,foryxan twitch,foryxan,?,
143,Fireintheholeee,Fireintheholeee,E,
143,TUT,"Mrwdnmd1",C,
145,winnie,tiltedwinnie,E,
146,Ref1ector1,Ref1ector1,?,
147,GROW-rxxurxxy,rxxurxxy-ttv,?,
148,nuveii,Nuveii784,?,
149,natoyamashida,"natoyamashida",?,
150,Nebula Hunto,lmaohunto,J,